age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,coffee_per_day,breaks_per_day,night_usage,distraction_score,addiction_level,productivity_score
32,13.395,3.57,6.94,4.974369357,456.3564747,100,3,7,1,6.863,Medium,73.84992736
17,11.87,,2.41,5.04568597,,83.73,4,3,1,9.032,High,6.77164868
21,4.25,2.15,3.63,6.668749363,233.4034679,100,2,,0,5.856,Medium,43.88894881
28,8.62,4.66,4.21,5.916568031,193.5502121,99.12,3,4,1,6.787,Medium,26.4968386
34,,6.13,6.8,,268.475236,100,0,9,0,,High,70.19919948
31,11.15,6.57,,6.980092907,242.0530118,100,1,8,1,8.08,High,67.52587476
35,3.56,3.08,7.44,8.22515814,79.49513119,100,1,7,,1.048,Medium,66.98154503
,9.52,4.53,0.06,7.610222354,102.4001556,100,1,3,1,6.382,Medium,4.466287688
39,7.68,4.22,7.38,8.534117631,115.0658438,100,1,8,1,4.066,Medium,63.1657646
30,,3.67,0.44,5.610094328,182.9492629,96.26,,4,0,5.963,Medium,3.635223762
38,6.74,4.23,2.13,9.491269549,27.51314335,100,2,4,1,3.251,Medium,24.09440973
26,5.34,3.35,4.12,5.272235467,165.4170779,100,2,,0,4.654,Medium,41.47438988
29,7.79,2.59,3.84,7.72825788,154.9768066,100,2,4,1,5.623,Medium,50.27084339
39,10.89,5.87,4.84,6.08562131,110.3206603,100,0,2,1,6.173,High,30.52779545
24,7.69,3.56,3.84,8.113594947,245.5518674,100,2,1,1,7.393,Medium,35.56571631
39,8.32,7.48,7.48,6.206589927,137.0603766,100,0,6,1,4.756,High,
21,7.19,3.49,1.92,8.367647363,198.8042995,99.81,1,1,1,7.119,,24.00070245
34,2.51,2.09,2.19,8.248612919,134.5225682,100,2,4,0,4.038,Medium,42.30162967
19,,3.06,7.37,7.392777563,269.4537173,,2,6,0,,Medium,62.19275254
15,6.92,3.49,0.61,7.691293474,129.5351951,99.6,1,4,1,5.937,Medium,45.09095
31,5.1,3.19,4.88,3.7887852,,98.74,2,4,0,,Medium,41.97915709
17,3.82,3.07,5.45,4.957944033,245.4576987,100,3,5,0,4.615,,43.56638397
27,7.04,5.84,4.04,9.254439794,50.52888319,100,1,3,1,2.748,High,45.82347229
28,5.23,2.07,5.55,7.482428,158.1966472,100,0,6,0,4.31,Medium,74.94964077
38,4.58,2.31,1.38,5.357964315,156.3015992,100,0,2,0,4.476,Medium,0.596194989
32,6.64,3.33,6.82,6.21996207,54.38989115,100,2,5,1,2.054,Medium,62.70692836
18,3.33,1.08,1.12,4.391015157,225.9108532,,3,3,0,5.769,Low,10.35365418
32,11.28,7.43,3.21,6.278909695,202.846888,90.02,2,4,1,8.697,High,3.675054266
19,10.68,,0.6,6.54297493,232.3461771,65.99,0,4,1,10.08,High,-7.560983356
39,9.08,,4.36,5.376722184,85.90556749,,2,1,1,5.132,Medium,41.80059294
30,3.06,2.28,5.36,4.63151458,250.1453929,100,4,6,0,4.762,Medium,44.64225363
15,9.76,6.6,7.53,6.322031078,58.81192749,100,2,7,1,3.721,High,45.20384628
35,10.08,5.3,5.91,6.274702815,78.26357806,100,0,6,1,5.447,High,44.88260174
28,9.68,3.72,4.33,5.296311573,27.17098465,100,3,2,1,4.501,Medium,52.85350901
29,4.71,2.28,7.46,7.103974213,334.4295703,100,1,7,0,3.232,Medium,85.15354268
23,8.44,6.86,3.83,8.431397346,224.4946656,99.79,0,1,1,7.851,High,22.79412923
29,15.51,,4.49,6.339934351,318.5288514,82.46,2,4,1,6.923,High,11.89478095
31,7.77,2.41,4.77,8.623804377,208.8058698,100,0,3,1,6.334,Medium,64.26451715
39,8.46,3.64,3.28,8.715051859,163.0663969,100,1,3,1,6.146,Medium,42.63940824
38,6.58,2.25,6.71,4.350656477,192.0423544,100,3,6,1,5.077,Medium,68.85647049
18,7.29,4.68,,4.502834361,285.6157842,82.38,3,1,1,8.901,Medium,-1.18241489
26,2.34,1.76,4.44,6.489533368,148.4870348,100,0,2,0,2.898,Low,48.12312018
19,8.39,3.07,5.78,7.045870773,,100,0,9,1,,Medium,65.37834564
19,2.81,2.26,7.23,6.004181287,55.23974483,100,2,9,0,0.136,,101.5192661
25,6.35,4.02,7.07,5.177580879,,100,2,5,1,,Medium,52.91316347
20,4.93,3.52,4.07,6.478211262,137.5961982,100,0,1,0,3.624,Medium,55.02319918
21,7.45,6.58,5.15,3.598874585,63.50181702,93.56,3,9,1,3.16,High,37.26216452
38,3.33,1.17,3.15,8.508634471,157.3709248,100,0,1,0,3.76,Low,65.93094814
28,8.92,7.5,3.75,,146.4952936,86.74,1,2,1,6.495,,-6.127995557
38,9.95,3.74,7.25,8.111306026,206.105689,100,1,9,1,7,Medium,84.21460659
25,3.63,1.94,7.45,4.792157198,226.3820206,100,3,7,0,3.7,Low,
27,3.04,2.47,7.16,4.870468803,179.6049822,100,2,9,0,2.552,Medium,76.01908796
16,3.46,2.92,1.11,5.083781722,271.0163473,93.67,3,1,0,6.517,Medium,-8.358230588
39,10.77,6.5,6.8,8.870206247,213.5415547,100,0,7,1,7.725,High,65.63206577
21,7.28,4.78,7.59,4.223993767,114.8400329,100,4,8,1,3.343,Medium,72.13916596
34,6.67,,2.89,7.799074454,264.5865697,95.43,1,4,1,8.028,Medium,31.1914243
18,3.07,2.45,4.15,7.794616849,149.6651318,100,1,3,0,2.69,Medium,67.83778006
22,8.5,3.17,6.23,6.769894146,65.98473914,100,0,9,1,3.401,Medium,66.33328176
34,10.68,,4.5,5.756335255,283.3163544,67.13,4,1,1,9.91,High,7.563117506
,10.28,6.05,7.95,8.751389418,131.2536727,100,0,5,1,5.555,High,89.69824029
35,8.26,4.71,3.65,8.362602588,73.21442814,,0,3,1,4.515,Medium,20.12258544
33,2.75,1.52,5.71,6.323917019,74.61244019,100,0,6,0,0.402,Low,75.63148339
27,3.12,1.89,6.34,7.242004174,143.6610161,100,2,5,0,2.458,Low,65.81024583
28,2.49,,3.95,8.976178651,129.9888001,100,0,2,0,2.64,Medium,67.15659758
24,4.57,2.87,6.86,9.277469255,,100,0,7,0,,Medium,
25,3.36,2.93,4.37,6.687135201,275.5577368,100,1,2,0,6.029,Medium,45.02766572
16,4.6,1.88,3.29,8.329742218,291.1339339,100,0,4,0,7.053,Low,56.82045992
,5.85,4.3,0.86,4.723347914,108.3465448,84.5,2,1,0,5.587,,14.6146716
23,11.43,9,3.15,6.010851928,147.2354124,86.81,,1,1,7.89,High,7.928731454
31,8.1,5.73,5.87,4.434360107,114.6120434,100,4,8,1,4.229,High,24.26138988
17,10.35,6.87,7.37,5.357135674,217.417568,100,2,6,1,7.484,High,
38,9.1,5.81,2.01,7.537319091,216.1686107,99.99,1,2,1,8.007,High,3.71410394
20,3.13,2.56,2.84,7.116534893,123.6853549,100,2,3,0,2.873,Medium,
19,9.36,7.42,1.23,4.649579418,272.3785772,71.82,4,3,1,9.271,High,-3.287720761
19,4.75,1.77,5.53,5.855242405,102.7481572,100,0,9,0,2.376,Low,64.81778693
36,8.39,6.79,,5.292212364,62.01750929,100,,4,1,,High,57.2474845
29,5.41,2.97,5.13,8.581691971,283.1904527,100,,7,0,7.126,Medium,49.56721768
37,11.98,5.42,4.94,7.979351207,227.8436673,100,1,4,1,8.648,High,33.33406845
31,4.64,3.81,4.43,6.235930452,230.2077162,100,4,4,0,5.191,Medium,44.27396498
23,4.79,2.68,0.71,8.706976472,283.2512727,100,1,3,0,8.022,Medium,-1.331824731
17,11.31,8.88,5.84,5.006185416,107.1399356,87.49,4,8,1,6.183,High,22.09578941
34,,1.03,4.82,6.904603648,107.2466453,100,0,,0,1.859,Low,80.68249632
31,8.97,2.71,,8.704015509,258.8765241,100,2,3,1,,Medium,62.43966524
24,9.25,5.52,7.19,5.662749674,,100,2,8,1,4.348,High,58.75233519
17,10.36,3.73,6.27,7.325800589,90.71012181,100,2,7,1,4.919,Medium,50.25114438
32,11.74,8.84,6.25,5.590258269,230.2224311,80.27,2,6,1,8.815,High,38.62614686
32,11.76,5.48,7.42,5.535010407,280.4257985,100,3,7,1,9.374,High,47.26741197
,2.65,1.5,7.92,6.713074464,135.2555644,100,0,5,0,1.749,Low,105.9242357
38,10.22,3.6,4.65,8.816383486,27.40793297,100,1,2,1,4.655,Medium,51.25315196
17,8.46,3.99,0.87,6.000889775,314.9652539,94.1,1,2,1,9.829,Medium,2.944753795
17,,6.51,3.67,8.881695234,18.02348747,100,1,4,0,,High,32.15525928
20,3.28,1.28,6.3,8.749509503,93.02452128,100,1,5,0,2.11,Low,59.43754443
27,8.5,5.85,0.22,5.213147212,158.6935026,87.31,3,4,1,6.764,High,0.5307651
38,11.82,10.05,,5.597032707,232.8176611,57.54,0,4,1,,High,8.924621628
29,11.12,7.87,0.54,6.584273715,124.4808629,84.16,1,1,1,7.898,High,3.300745827
,6.39,5.03,5.85,7.091361627,69.3386026,100,0,9,1,2.74,High,64.34505756
,3.6,0.88,4.01,5.106306563,573.6218943,100,2,4,0,5.517,Low,43.30931982
,5.62,2.53,2.95,8.684231526,169.4318322,100,,1,0,5.185,Medium,30.02769937
28,10.26,8.58,0.84,8.228051436,30.55828954,80.93,1,,1,5.758,High,-2.377850858
19,9.01,6.57,5.86,6.980999094,101.9678771,100,2,9,1,4.367,High,42.2815264
16,6.59,4.51,2.57,7.471239081,259.3621548,99.22,2,2,1,7.504,Medium,10.22439112
25,2.55,1.78,2.12,5.227248097,130.5850748,100,3,3,0,2.659,Low,32.39416885
23,6.27,3.44,5.22,5.834771868,237.5966366,100,2,6,1,6.169,Medium,55.75731051
38,6.69,2.19,4.47,8.008006204,,100,2,1,1,6.324,Medium,57.7335384
17,11.29,8.7,2.9,7.830912171,212.5914412,87.81,2,2,1,9.115,High,12.69930388
23,12.615,5.95,5.13,,381.6386363,98.39,4,6,1,6.286,High,32.28151483
17,5.12,2.99,2.17,6.673655539,225.4806021,100,1,1,0,6.449,Medium,14.91661885
39,7.25,6.09,6.36,7.215010752,62.64376946,100,1,,1,2.977,High,35.22096286
16,2.66,1.33,1.83,6.603826134,307.3951254,100,4,1,,6.741,Low,33.64399039
26,11.73,5.59,1.27,4.832721043,292.3029778,81.28,4,1,1,11.364,High,
24,5.6,4.61,6.26,6.103198482,242.1595744,100,0,7,0,5.722,Medium,56.00828327
23,6.78,5.28,5.66,6.75530827,154.3618233,,1,,1,4.992,High,52.11187008
29,5.55,3.38,1.46,3.765934151,65.63969445,98.67,2,3,0,4.097,Medium,11.30519572
22,8.83,3.34,0.93,4.495543766,132.7325202,94.47,3,3,1,7.316,Medium,-8.162116104
39,8.62,3.7,6.71,5.170001995,46.750087,100,4,7,1,2.877,Medium,58.29876818
19,9.15,6.35,6.21,6.388160237,140.3557953,100,2,8,1,5.312,High,48.74606903
25,4.68,2.49,2.62,6.784454521,37.28564371,100,0,4,0,2.674,,36.82867523
16,,4.14,5.27,6.028591064,115.5428916,100,3,5,0,,Medium,
38,,2.83,0.99,5.741952292,114.1154149,100,2,3,0,3.628,Medium,9.455324732
29,8.56,6.71,4.06,7.879894064,67.71321301,100,2,3,1,4.542,High,24.63273814
20,2.4,1.26,0.15,5.23208861,196.7522535,100,2,2,0,4.175,Low,8.208144957
22,7.98,6.17,3.13,5.867033985,224.7896191,90.81,1,4,1,7.891,High,7.345410991
19,10.7,5.47,0.6,9.628450316,102.420132,95.68,0,3,1,6.81,High,
30,16.365,4.37,,6.942961718,90.31746591,100,2,4,1,,Medium,20.43477635
32,6.49,2.08,3.37,7.671268892,157.9219887,100,2,1,1,5.534,Medium,45.80091492
20,6.59,3.5,3.56,5.672908144,255.9908922,100,1,1,1,7.887,Medium,25.96426586
19,2.77,2.33,0.36,4.507285269,43.00845824,100,2,2,0,2.297,Medium,17.83388755
30,8.71,3.86,2.89,6.942966515,79.84762521,100,2,2,1,4.848,Medium,30.86972045
27,10.21,4.33,6.05,7.55482586,237.5210288,100,1,6,1,7.41,Medium,56.91301605
19,4.45,3.92,2.95,4.32514494,126.0483861,100,2,3,0,3.7,Medium,16.53592447
27,6.21,1.96,5.72,6.415019049,179.1304844,100,1,5,1,5.109,Low,68.46128534
31,10.39,8.02,2.96,,240.1347917,89.63,0,3,1,8.947,High,3.780108269
32,,5.31,3.39,5.036651381,224.0911674,94,4,1,1,8.728,High,24.76773221
22,,1.43,4.51,5.854525979,250.6165415,100,2,4,0,6.162,Low,41.39039776
27,7.51,6.39,7.61,6.702027944,156.5383817,100,1,9,1,4.932,High,38.45307515
33,3.92,1.5,0.87,8.521467915,130.1234483,100,0,3,0,3.999,Low,25.61904153
17,3.02,1.91,0.26,8.558178398,,100,0,1,0,3.072,Low,31.83026759
38,11.11,5.16,4.86,7.502998405,214.928121,100,2,3,1,8.357,High,48.04894016
22,10.21,3.46,7.59,5.661268781,287.4912662,100,4,5,1,8.648,Medium,72.88982559
16,9.6,3.17,7.92,5.047887753,115.269754,100,2,5,1,4.604,Medium,
22,2.49,0.92,3.87,6.177262546,299.1471776,100,2,1,0,5.904,Low,47.54524037
27,10.44,,3.74,6.53195578,112.0930307,100,2,4,1,6.178,Medium,24.78822042
27,6.38,4.83,5.16,7.421882508,51.29329726,100,2,9,1,2.742,Medium,65.86567446
15,,3.21,4.45,8.938919715,7.417887468,100,0,2,0,,,62.83516915
20,7.46,,5.07,6.226111233,66.15813727,100,2,5,1,4.129,Medium,37.88696047
38,2.91,1.6,6.99,7.107507997,76.39658411,100,2,5,0,0.718,Low,96.77630291
33,9.57,8.21,5.97,7.034944449,266.1849168,87.45,0,5,1,8.094,High,26.9550688
30,7.82,6.62,3.98,4.568740395,41.54958451,96.15,4,4,1,3.976,High,27.97761704
22,3.87,2.82,,6.186129372,134.828024,100,0,2,0,,Medium,43.61935292
15,3.88,3.22,5.12,6.777978449,153.1832011,100,0,5,0,3.364,Medium,54.02556828
30,3.84,1.89,3.65,9.684194682,0.094811035,100,2,3,0,1.345,Low,62.79447557
23,2.57,1.36,3.66,5.656514965,110.2680851,100,3,2,0,2.807,Low,75.69783348
27,7.88,5.27,0.13,9.35701923,255.6426108,87.09,1,2,1,8.541,High,10.8433203
25,10.4,7.01,1.39,6.224261133,86.75857244,81.94,2,4,1,6.483,High,-0.718054282
27,2.17,1.28,3.91,,58.38014019,100,0,2,0,0.912,Low,67.30554158
39,2.49,1.35,6.58,4.837983538,259.1596673,100,3,6,0,4.951,Low,74.13691546
35,7.73,6.89,2.23,5.005689177,21.3302282,82.18,3,2,1,3.856,High,1.614070521
24,10.19,8.08,4.18,6.107950813,58.94855935,100,2,2,1,,High,5.286179056
18,5.27,2.96,2.76,3.89240322,260.7378573,94.87,2,3,0,7.027,Medium,2.775849309
20,5.5,4.05,0.84,6.081770479,244.8135816,86.57,1,4,0,7.838,Medium,6.75069621
21,7.96,3.68,7.67,9.470284607,107.630205,100,2,9,1,4.019,Medium,76.63565438
19,4.74,1.71,6.84,7.990299957,154.85889,100,0,6,0,3.938,Low,92.67489251
25,2.27,1.16,0.63,7.771584405,268.1740672,100,2,3,0,6.266,Low,11.09961967
27,9.35,5.07,5.76,5.007118073,9.089905446,100,2,9,1,3.407,High,38.08252371
39,8.26,2.56,2.78,5.97364963,275.6629591,100,1,4,1,8.896,Medium,35.30470801
33,7.81,6.16,7.96,4.970984333,96.13152912,100,2,5,1,2.797,High,73.93993063
37,9.42,4.86,2.42,8.438361314,250.2545491,100,2,3,1,8.584,Medium,12.65326228
24,8.75,5.67,1.91,5.368217741,262.3297652,80.63,4,1,,9.062,High,-9.413826255
24,4.06,1.4,4.54,5.714368145,225.4351779,100,0,3,0,5.108,Low,66.16848046
25,5.52,2.24,6.68,6.858374422,226.1021394,100,2,8,0,5.196,Medium,72.49408321
35,3.26,2.72,1.54,6.850074816,54.04257514,100,0,1,0,2.088,Medium,34.12404121
21,3.3,2.2,5.68,7.959207812,121.9130402,100,1,7,0,2.686,Medium,75.63678409
32,8.76,7.62,0.49,5.738051461,234.7017486,77.21,,2,1,9.133,High,-5.334523872
18,10.59,9.52,,5.58802412,232.3072494,,3,3,1,,High,43.98757184
16,11.63,6.08,0.65,7.726261111,273.6803803,89.16,0,2,1,10.94,High,5.517989041
28,12.42,3.97,7.31,6.825538381,97.81250381,100,0,7,1,3.307,Medium,71.99054377
27,3.84,3.13,3.93,6.038222143,264.0538295,100,0,1,0,6.181,Medium,21.20869669
26,3.06,2.75,3.58,4.460247348,108.9529659,100,3,4,0,2.396,Medium,23.14366769
21,15.195,6.87,7.79,7.749208341,510.994415,100,2,6,1,8.248,High,61.62807934
,7.79,6.05,7.92,8.954055171,113.1152766,100,1,8,1,4.299,High,
27,8.18,,5.2,7.394762124,54.06244662,100,0,6,1,3.61,High,30.3064377
28,14.715,5.03,1.02,7.521250913,335.8316386,96.66,0,2,1,7.839,High,6.87069242
31,9.03,5.82,4.05,6.430177586,222.4071865,100,0,2,1,7.62,High,-4.232899735
23,10.34,8.27,4.23,,281.0164291,78.08,0,2,1,9.481,High,-0.663051053
31,2.56,1.82,4.12,5.22647568,96.42746763,100,4,2,0,2.104,Low,49.95839577
22,9.48,2.96,4.56,7.149171552,219.7579419,100,1,4,1,7.592,Medium,26.46647416
16,10.51,5.28,0.15,6.690887368,46.51637642,95.8,2,4,,6.03,High,-12.78865711
38,,1.88,5.69,7.740702755,61.15966812,100,1,6,0,,Low,67.10267724
27,8.4,3.69,5.7,7.815856803,98.77646945,100,0,9,1,4.37,Medium,68.70459565
17,5.14,4.33,0.92,9.041060616,151.4109019,100,2,2,0,5.354,Medium,2.730694507
30,11.58,3.73,4.56,6.896984526,186.205621,100,1,4,1,8.142,Medium,53.00070688
20,2.33,1.01,,6.120883534,132.9429322,100,2,1,0,2.38,Low,70.35600058
33,7.8,3.79,,5.509638107,98.16903077,100,3,9,1,4.442,Medium,40.31317934
21,3.67,2.46,0.68,6.089046854,55.81727411,99.77,1,1,0,2.751,Medium,16.75258369
24,,5.66,5.01,8.794732776,90.63500297,100,0,8,0,,High,68.62078807
23,3.76,1.62,2.25,4.206303423,51.94666098,100,4,4,0,2.785,Low,28.64376269
16,4.35,1.73,4.06,9.727834096,93.9148262,100,0,4,0,2.777,Low,70.75204969
29,,3.07,6.19,8.369984839,160.0384048,100,0,7,0,,Medium,79.63089144
19,11.15,6.71,5.65,7.273122,68.00607871,100,1,9,1,5.5,High,39.9635874
36,,1.91,0.95,5.951011065,194.1577574,100,2,4,,5.735,Low,1.956215401
18,3.44,2.99,4.73,4.50304013,38.82760693,100,3,3,0,1.241,Medium,22.59661429
34,9.59,5.55,7.75,5.045356898,268.4427898,100,2,8,1,7.65,High,38.83502015
18,7.01,2.35,1.25,3.657248616,242.1804179,91.39,2,2,1,8.15,Medium,4.061502853
32,11.12,8.2,6.82,6.067067078,160.2082248,94.75,2,6,1,,High,20.73460667
18,3.47,1.73,5.62,4.483405596,34.80907223,100,2,7,0,0.569,Low,67.88026531
31,8.46,5.86,6.19,7.727681599,81.10873066,100,0,5,1,4.053,High,62.17055532
26,4.33,2.03,2.26,6.497630204,,100,2,4,0,4.327,Medium,21.93814347
36,3.57,2.29,2.3,5.516966669,39.26205853,100,3,3,0,2.195,Medium,28.23273609
31,8.83,6.74,7.25,6.562507291,252.7888373,100,0,9,1,7.38,High,46.22102617
24,7.94,6.8,2.88,8.694404993,116.5651406,97.85,1,1,1,4.946,High,14.69307895
36,9.55,4.36,0.5,7.053611722,57.41551271,100,1,2,1,5.605,Medium,7.933735744
15,5.09,2.55,4.8,6.013473915,245.2560637,100,0,1,0,6.025,Medium,60.97911142
36,6.48,3.75,1,8.382561417,41.01843181,100,2,2,1,3.42,Medium,16.84393249
38,6.05,5.18,6.37,7.30949549,64.96070625,100,2,6,1,2.794,High,41.78866015
32,11.84,9.96,5.13,8.123114441,277.4033684,83.72,1,5,1,9.461,High,-0.936758272
32,4.92,1.74,7,4.523969235,107.2117577,100,2,8,0,3.04,Low,74.59660208
28,4.95,1.88,6.28,8.114831324,288.266193,100,2,6,0,5.891,Low,78.74291236
29,5.55,3.32,0.9,5.042467576,64.79514669,100,2,2,0,3.225,Medium,23.39977961
26,7.65,,3.05,8.110119227,72.66272977,100,0,3,1,4.03,Medium,63.1453251
18,4.52,2.29,6.2,5.955146526,240.2891844,100,2,5,0,5.16,Medium,58.531164
17,11.15,4.34,3.34,8.947601681,157.238294,100,0,1,1,7.693,Medium,25.40694595
34,4.66,3.18,7.78,9.262390846,280.9180844,100,0,9,0,5.296,Medium,90.73125616
26,10.96,9.53,5.89,4.627067569,57.6518957,77.9,3,9,1,4.853,High,10.65503674
21,3.03,2.72,0.12,8.842637027,255.5106217,95.83,0,2,0,6.879,Medium,18.71722775
25,8.57,4.5,7.04,4.650509296,62.95629306,,4,9,1,3.613,Medium,44.32129092
15,11.07,7.3,0.81,4.921017999,213.8210657,68.79,2,4,1,9.732,High,-4.128638811
20,3.69,3,1.12,6.523003309,70.52154367,100,0,2,0,2.869,Medium,-3.866074942
29,11.68,4.33,5.88,8.77646556,153.2204145,100,2,6,1,6.896,Medium,59.80989179
29,6.53,4.66,6.92,6.331581167,55.64110202,100,2,9,1,1.889,Medium,71.3583839
,11.46,6.25,4.29,7.1141021,290.7746534,89.74,0,2,1,10.203,High,19.70026683
25,8.77,3.72,2.31,7.458019019,228.5127674,98.63,2,3,1,8.792,Medium,23.68758483
37,5.02,2.72,2.81,9.133306602,150.0464595,100,2,3,0,4.467,Medium,53.18124477
16,3.88,1.34,2.74,8.342473953,181.4182042,100,2,2,0,4.278,Low,55.65486075
28,5.04,3.61,2.61,4.741982939,111.7710756,100,2,1,0,3.857,Medium,19.3129239
16,2.93,1.32,1.94,5.670360757,142.0838782,100,4,1,,3.863,Low,33.10855274
18,3.44,1.67,4.87,4.008270536,263.8264608,99.75,2,1,0,5.679,Low,64.88432972
31,3.05,1.14,7.2,7.990391582,298.2127126,100,0,6,,5.245,Low,94.61822242
17,6.23,5.1,2.46,5.459300717,79.77893735,93.1,2,4,1,3.697,High,21.96327249
27,9.96,5.94,1.49,4.294375728,,91.84,3,2,1,6.493,High,-0.159570493
23,3.41,2.19,6.71,9.025329649,240.8980684,100,1,,0,4.452,Medium,80.58297474
,3.3,2.12,5.93,5.810253223,130.5349132,100,2,7,0,2.471,Medium,62.56762214
29,8.43,4.61,7.45,6.974805406,262.5862846,100,2,6,1,6.9,Medium,78.27799799
37,3.97,1.65,1.32,5.831327787,312.5293172,98.97,,3,0,7.469,Low,17.6641871
25,,2.23,1.15,4.572547827,260.5060755,90.57,3,2,0,6.645,Medium,-1.127909257
,3.67,1.38,4.33,5.763501958,69.09225799,100,2,3,0,1.696,Low,49.55003727
16,11.24,4.07,4.92,6.047635798,153.4217383,100,1,3,1,7.224,Medium,43.72310031
29,10.21,7.41,3.84,8.39409056,110.8675062,94.79,1,4,1,6.293,High,10.12532938
28,8.31,,4.79,6.417413531,82.47265069,100,2,3,0,2.393,Medium,73.06473221
34,8.56,4.14,,6.1051042,78.84214063,94.98,2,3,1,,Medium,4.200761793
36,7.37,4.31,3.84,7.353392457,205.8901793,100,2,4,1,6.733,Medium,35.63423849
25,8.77,5,5.26,8.099865731,224.0838802,100,2,9,1,7.167,High,40.92522068
17,8.83,6.4,3.46,,76.04264029,100,1,3,1,4.717,High,8.234204645
31,8.29,5.59,5.44,8.840619659,277.5054672,100,2,8,1,8.073,High,35.69123645
26,,3.2,3.61,8.084672761,239.6087843,100,2,1,0,5.887,Medium,43.92289251
38,2.39,1.74,2.67,5.992501194,162.9500487,100,1,3,0,4.014,Low,31.30624604
35,6.56,3.12,2.43,8.441567476,138.3940228,100,2,2,1,5.191,Medium,15.84256233
29,10.91,5.38,3.29,6.355863092,121.4755699,98.06,0,4,1,7.588,High,3.057066899
30,7.69,4.33,0.18,5.472665244,41.48352593,92.97,4,3,1,4.411,Medium,2.415988528
19,10.32,5,5.35,5.72752847,261.1539207,99.19,2,9,1,8.695,High,21.27402725
34,11.92,10.62,6.76,5.306183921,196.9009444,81.3,3,7,1,,High,6.307158728
20,3.64,2.87,2.84,4.045334373,238.8100454,,3,1,0,5.848,Medium,17.6195062
,8.92,3.56,0.37,4.551766881,83.46919835,91.43,3,1,1,6.229,Medium,0.147794082
39,8.74,2.65,7.89,4.398048084,151.7648729,100,4,5,1,5.083,Medium,77.93622682
19,11.8,3.84,2.11,8.185743624,97.07243217,100,1,1,,7.287,Medium,28.07116663
17,11.86,,1.01,8.569786116,99.03176246,96.05,0,1,1,7.667,High,
15,13.305,3.27,2.96,,362.2469741,96.57,2,1,1,6.767,Medium,33.61213497
20,4.44,2.75,5.91,8.551647332,231.7932562,100,2,5,0,5.007,Medium,82.26149766
29,9.99,8.14,2.35,4.922656681,247.5169209,75.84,3,1,1,8.97,High,-0.490487534
16,3.07,2.28,4.6,8.372751529,258.5454321,100,1,1,0,5.635,Medium,70.50737799
17,9.81,4.21,3.32,6.811168831,194.5990798,100,1,4,1,8.049,Medium,28.44314494
31,11.1,5.99,0.94,5.098837898,263.8289054,75.66,3,,1,10.588,High,5.060862367
39,5.83,3.53,2.64,4.619900812,299.4063836,90.92,2,4,0,7.603,Medium,13.90908445
38,8.31,6.53,5.8,5.287345879,,91.79,2,6,1,,High,33.85107013
26,6.3,,4.9,4.161764138,182.8023517,96.07,4,3,1,5.4,High,31.35388165
32,6.38,5.4,0.96,5.202555538,99.9649609,73.16,2,1,1,4.842,High,5.365180818
29,5.1,3.09,1.31,4.184952678,220.5848494,98.7,2,4,0,6.037,Medium,18.55794407
26,9.62,6.89,5.13,6.063737395,26.36827423,100,3,5,1,4.051,High,25.19071836
30,11.36,4.17,6.51,5.173855545,112.3313366,100,3,8,1,6.027,Medium,69.21594259
22,11.41,7.29,2.8,9.187569019,198.4265377,89.14,1,,1,8.845,High,-5.651038132
28,3.75,1.68,4.76,,115.7153845,100,2,1,0,2.727,Low,50.4771432
39,10.75,6.01,1.37,4.996049066,89.12133265,87.45,4,4,1,6.764,High,0.225102355
31,9.37,6.38,2.49,7.17986092,213.8251875,90.76,2,4,1,8.118,High,-1.327582399
35,4.53,2.06,0.16,8.312099211,146.4042917,100,0,2,0,5.237,Medium,
22,2.67,0.88,6.15,5.617876515,148.1014702,100,3,5,0,2.65,Low,75.94535952
29,4.68,1.43,3.21,8.390899162,302.6249466,100,0,1,0,7.257,Low,48.50424845
28,11.12,3.48,6.53,5.91322669,124.1156682,100,3,9,1,6.021,Medium,44.78774053
32,8.33,2.54,5.67,4.988858589,66.46059081,100,4,7,1,3.424,Medium,64.85787907
34,9.21,3.37,6.63,5.894715993,61.33558002,100,3,5,1,3.356,Medium,51.62134776
21,4.57,2.03,2.29,6.523083064,260.9439756,100,0,3,0,6.858,Medium,48.96474297
17,9.19,3.98,1.48,6.322486,221.2334896,,3,2,1,8.031,Medium,7.698294213
26,3.42,2.03,7.78,7.125085946,227.3559146,100,0,,0,0.966,,83.24183981
35,5.75,2.78,5.74,5.240900852,29.57807476,100,,5,0,1.933,Medium,57.49229219
38,8.27,3.11,6.67,7.559296296,59.47401251,100,2,9,1,2.874,Medium,60.00345197
17,3.46,2.17,0.11,5.181819891,71.69672852,100,3,2,0,2.837,Medium,23.76616865
34,10.23,8.34,2.84,6.838363185,98.38990646,81.78,0,1,1,6.423,High,-4.70096854
28,4.35,3.07,5.94,6.218467148,187.0978818,100,1,8,0,3.773,Medium,63.45765616
29,8.52,4.07,0.62,7.351541988,216.8700358,95.28,0,4,1,8.534,Medium,6.675269601
39,6.05,3.85,4.54,5.745653968,270.0141279,95.93,2,1,1,6.703,Medium,26.08052057
28,7.96,5.8,3.43,7.967307695,131.5983267,100,2,1,1,5.411,High,20.20772897
21,3.07,2.26,0.14,7.903504945,146.24481,100,1,1,,4.093,Medium,15.50497412
